"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI2163";"Marabá";"Marabá";"Grupo 2";"Residencial Magalhães";"1";"28";"Censo IBGE";"2010";"3";;;"2";"3";"3";"1";"5";"Área Protegida - municipal";"0";"FBDS";"menos de 1%";"2";;"2";"-";"1";;"1";;"1";;"2";;"até 50"
"NUI2181";"Marabá";"Marabá";"Grupo 2";"VILA ZÉ DO ÔNIBUS / VILA ZÉ DO ÔNIBUS  MARABÁ";"1";"209";"Censo IBGE";"2010";"4";;;"4";"2";"1";"2";"5";"Área Protegida - municipal";"0";;;"1";;"2";"-";"2";;"3";;"4";"Imagem SV de 2012 - marcaria o 2";"4";"Não tem SV atualizado. Imagem aérea 2020 - marcaria o 3";"de 100 a 700"
"NUI2187";"Marabá";"Marabá";"Grupo 2";"VILA CABANAGEM";"1";"259";"Censo IBGE";"2010";"4";;;"2";"3";"1";"2";"1";;"0";;;"1";;"2";"-";"5";"Quase não se percebe um traçado. Muito esparsa.";"5";"Quase não se identicam lotes.";"4";"Não tem SV";"4";"Imagem de baixa resolução para as análises";"de 100 a 700"
"NUI2132";"Marabá";"Marabá";"Grupo 2";"Bairro Liberdade";"3. trabalho de campo";"3860";"Censo IBGE";"2010";"1";;;"4";"3";"3";"2";"5";"Área Protegida - municipal";"1";"Prefeitura";"Pesquisa de Campo";"3";"parte alaga";"4";"2";"1";;"2";"misto com 1";"1";;"2";;"mais que 2.000"
"NUI2153";"Marabá";"Marabá";"Grupo 2";"Santa Rita";"1";"20";"Censo IBGE";"2010";"1";;;"4";"3";"3";"1";"5";"Área Protegida - municipal";"1";"Prefeitura";"Pesquisa de Campo";"3";"alagamento";"3";"1";"1";;"2";;"3";;"1";"Regularizado parcialmente por ser área de mais de 100 anos - Parte baixo da cota 82 m não pode ser regularizada.";"até 50"
"NUI2155";"Marabá";"Marabá";"Grupo 2";"São Félix II";"1";"170";"Censo IBGE";"2010";"1";;;"4";"2";"2";"1";"5";"Área Protegida - municipal";"0";;;"2";;"2";"-";"1";;"1";;"1";;"2";;"de 100 a 700"
"NUI2158";"Marabá";"Marabá";"Grupo 2";"São José II (Km 08)";"1";"158";"Censo IBGE";"2010";"1";;;"4";"3";"3";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"4";"2";"1";;"1";;"2";;"2";;"de 100 a 700"
"NUI2142";"Marabá";"Marabá";"Grupo 2";"Folha 25";"1";"147";"Censo IBGE";"2010";"1";;;"4";"3";"3";"1";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"alagamento";"3";"1";"1";;"1";;"3";;"2";"alagamento, n deveria ter, mas tem problemas de infra";"de 100 a 700"
"NUI2154";"Marabá";"Marabá";"Grupo 2";"São Félix I";"1";"1459";"Censo IBGE";"2010";"1";;;"4";"2";"2";"1";"5";"Área Protegida - municipal";"1";"Prefeitura";"Pesquisa de Campo";"3";"alagamento";"2";"-";"1";;"1";;"2";;"2";;"de 701 a 2.000"
"NUI2143";"Marabá";"Marabá";"Grupo 2";"Folha 35";"1";"271";"Aglomerados Subnormais 2019";"2020";"1";;;"4";"2";"3";"1";"5";"Área Protegida - municipal";"1";"Prefeitura";"Pesquisa de Campo";"3";"alagamento";"4";"2";"1";;"1";;"1";;"2";;"de 100 a 700"
