"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI1455";"Brasília";"Brasília";"Grupo 1";"Privê Morada Norte";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"175";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"3";;"1";"FBDS";;"2";;"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
"NUI1466";"Brasília";"Brasília";"Grupo 1";"ARIS Vargem Bonita - RA XXIV  Park Way";"3 - Portal da Regularização - GDF; GEOPORTAL - GDF (Novas Áreas Especiais de Interesse social)";"100";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"3";"2";"3";;"0";;;"3";"Risco 4 - Erosão (80%)";"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial e esgotamento por fossa.";"de 100 a 700"
"NUI1469";"Brasília";"Brasília";"Grupo 1";"Vila Cultural 913 sul";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"37";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"3";"2";"3";;"0";;;"2";;"1";"-";"3";;"3";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"até 50"
"NUI1456";"Brasília";"Brasília";"Grupo 1";"Privê Rancho Paraíso";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"240";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"1";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
"NUI1459";"Brasília";"Brasília";"Grupo 1";"Serra Verde";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"31";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"3";;"0";;;"3";"Risco 4 - Erosão (10%)";"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"até 50"
"NUI1454";"Brasília";"Brasília";"Grupo 1";"PICAG 3/372";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"120";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"3";;"1";"IPEA";"imagem de satélite";"3";"Risco 4 - Erosão (10%) e Risco 5 - Erosão (50%)";"1";"-";"2";"Vias veiculares estruturam o NUI, com acesso aos lotes, mas sem caixa de via adequadas";"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
"NUI1457";"Brasília";"Brasília";"Grupo 1";"Quintas Amarante PICAG 4/491 4/492";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"191";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"3";;"0";;;"3";"Risco 5 - Erosão (75%)";"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
"NUI1444";"Brasília";"Brasília";"Grupo 1";"Comunidade Lobeiral";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"52";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"3";;"1";"FBDS";;"3";"Risco 5 - Erosão (80%)";"1";"-";"3";;"2";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 51 a 99"
"NUI1463";"Brasília";"Brasília";"Grupo 1";"Expansão da ARIS Mestre DArmas II - RA VI  Planaltina";"3 - Portal da Regularização - GDF; GEOPORTAL - GDF (Novas Áreas Especiais de Interesse social)";"103";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"3";;"0";;;"3";"Pontos de alagamentos";"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
"NUI1442";"Brasília";"Brasília";"Grupo 1";"Comunidade Basevi";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"465";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"7";;"1";"IPEA";"imagem de satélite";"2";;"1";"-";"2";"Vias veiculares estruturam o NUI, com acesso aos lotes, mas sem caixa de via adequadas";"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
"NUI1445";"Brasília";"Brasília";"Grupo 1";"COOPERFRUIT ( Proj. Mana I ) PICAG";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"76";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"3";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 51 a 99"
"NUI1464";"Brasília";"Brasília";"Grupo 1";"ARIS Vila Roriz - RA II  Gama";"3 - Portal da Regularização - GDF; GEOPORTAL - GDF (Novas Áreas Especiais de Interesse social)";"400";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"3";"2";"3";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"1";"Déficit de drenagem pluvial.";"de 100 a 700"
"NUI1467";"Brasília";"Brasília";"Grupo 1";"ARIS Buritizinho - RA XXVI  Sobradinho II";"3 - Portal da Regularização - GDF; GEOPORTAL - GDF (Novas Áreas Especiais de Interesse social)";"650";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"3";"2";"3";;"0";;;"2";;"1";"-";"1";;"1";;"2";;"2";"Déficit de drenagem pluvial e esgotamento por fossa.";"de 100 a 700"
"NUI1462";"Brasília";"Brasília";"Grupo 1";"ARIS Vila Operária do Torto - Ra XVIII  Lago Norte";"3 - Portal da Regularização - GDF; GEOPORTAL - GDF (Novas Áreas Especiais de Interesse social)";"65";"Censo IBGE";"2010";"2";;;"4";"3";"1";"2";"1";;"1";"FBDS";;"3";"Risco 4 - Erosão (70%) e Risco 5 - Erosão (30%)";"1";"-";"2";;"2";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 51 a 99"
"NUI1465";"Brasília";"Brasília";"Grupo 1";"ARIS QR 611 - RA XII  Samambaia";"3 - Portal da Regularização - GDF; GEOPORTAL - GDF (Novas Áreas Especiais de Interesse social)";"90";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"3";"2";"3";;"1";"FBDS";;"3";"Risco 5 - Erosão (50%)";"1";"-";"1";;"1";;"1";;"1";"Déficit de drenagem pluvial.";"de 51 a 99"
"NUI1453";"Brasília";"Brasília";"Grupo 1";"Parque Sol Nascente";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"182";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"8";;"1";"FBDS";;"3";"Risco 4 - Erosão (40%)";"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
"NUI1452";"Brasília";"Brasília";"Grupo 1";"Núcleo Urbano 8 INCRA 8";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"500";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"3";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"1";;"de 100 a 700"
"NUI1451";"Brasília";"Brasília";"Grupo 1";"Morada dos Pássaros";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"50";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"3";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"até 50"
"NUI1450";"Brasília";"Brasília";"Grupo 1";"Las Vegas";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"2192";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"8";;"1";"FBDS";;"3";"Risco 5 - Erosão (50%)";"1";"-";"1";"não implantado";"1";"-";"4";;"4";"sem infraestrutura implantada";"mais que 2.000"
"NUI1440";"Brasília";"Brasília";"Grupo 1";"Buritis / Adiel";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"76";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"6";;"0";"FBDS";"menos de 1%";"3";"Risco 5 - Erosão (10%)";"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 51 a 99"
"NUI1443";"Brasília";"Brasília";"Grupo 1";"Comunidade Boa Vista";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"215";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"2";"1";"2";"3";;"1";"FBDS";;"3";"Risco 5 - Erosão (80%)";"1";"-";"3";;"3";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
"NUI1439";"Brasília";"Brasília";"Grupo 1";"Arrozal";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"167";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"3";;"1";"FBDS";;"3";"Risco 5 - Erosão (50%); Pontos de alagamentos.";"1";"-";"2";;"2";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
"NUI1441";"Brasília";"Brasília";"Grupo 1";"Chácaras do Pulador";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"250";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"2";"2";"2";"3";;"1";"FBDS";;"3";"Risco 5 - Erosão (75%)";"1";"-";"3";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
"NUI1684";"Brasília";"Brasília";"Grupo 1";"Barreiros";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"99";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"1";"2";"3";;"0";;;"2";;"1";"-";"3";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 51 a 99"
