"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI1062";"Belo Horizonte";"Raposos";"Grupo 4";"Área verde do Bairro Recanto Feliz";"3.PMRF";"2";"PMRF";"2009";"1";;;"4";"2";"2";"2";"1";;"1";"FBDS";;"2";;"1";"-";"3";;"3";;"2";;"3";;"até 50"
"NUI1229";"Belo Horizonte";"Sabará";"Grupo 2";"Galego";"3.PLHIS";"386";"PLHIS";"2010";"2";;;"4";"2";"3";"1";"1";;"1";"FBDS";;"3";"risco geológico";"4";"1";"2";;"3";;"2";;"2";;"de 100 a 700"
"NUI1220";"Belo Horizonte";"Sabará";"Grupo 2";"Vila Rica e parte de Vila Alto São José";"3.PLHIS";"2704";"PLHIS";"2010";"2";;;"4";"2";"3";"3";"1";;"1";"FBDS";;"3";"risco geológico";"4";"1";"2";;"1";;"2";;"2";;"mais que 2.000"
"NUI1231";"Belo Horizonte";"Sabará";"Grupo 2";"Cabral e Alto Cabral";"3.PLHIS";"494";"PLHIS";"2010";"2";;"Maior parte é 2";"4";"2";"3";"3";"2";;"1";"FBDS";;"3";"risco geológico";"3";"1";"2";;"2";;"2";;"2";;"de 100 a 700"
"NUI1230";"Belo Horizonte";"Sabará";"Grupo 2";"Córrego da ilha";"3.PLHIS";"551";"PLHIS";"2010";"2";;;"4";"1";"3";"1";"1";;"1";"FBDS";;"3";"risco geológico";"4";"1";"2";;"3";;"2";;"2";;"de 100 a 700"
"NUI1217";"Belo Horizonte";"Sabará";"Grupo 2";"partes de Eugênio Rosi, de Vila Nossa Senhora da Conceição e de Valparaíso";"3.PLHIS";"358";"CADUNICO";"2020";"2";;;"4";"2";"3";"2";"1";;"1";"FBDS";;"2";;"4";"1";"2";;"1";;"2";;"1";;"de 100 a 700"
"NUI1224";"Belo Horizonte";"Sabará";"Grupo 2";"Rosário III e Vila Santo Antônio";"3.PLHIS";"457";"PLHIS";"2010";"2";;;"4";"1";"3";"3";"1";;"1";"FBDS";;"3";"risco geológico/ inundação";"4";"1";"2";;"3";;"2";;"2";;"de 100 a 700"
"NUI1219";"Belo Horizonte";"Sabará";"Grupo 2";"parte de Vila Alto São José";"3.PLHIS";"306";"PLHIS";"2010";"2";;;"4";"3";"3";"3";"1";;"1";"FBDS";;"2";;"3";"1";"2";;"2";;"2";;"2";;"de 100 a 700"
"NUI1218";"Belo Horizonte";"Sabará";"Grupo 2";"Itacolomi, parte de Vila Nossa Senhora da Conceição e de Vila São José";"3.PLHIS";"1946";"PLHIS";"2010";"2";;;"4";"3";"3";"3";"1";;"1";"FBDS";;"3";"risco geológico";"4";"1";"1";;"1";;"4";;"2";;"de 701 a 2.000"
"NUI1045";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Ferreiras";"3.PMRF";"300";"PMRF";"2009";"2";"Ocupação remanescente de processos antigos de parcelamento do solo";;"4";"3";"2";"2";"1";;"1";"FBDS";;"3";"_ Deslizamento de terra";"1";"-";"2";;"1";;"4";;"4";;"de 100 a 700"
"NUI1044";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Santo Antonio da Barra (ou Matuto)";"3.PMRF";"800";"PMRF";"2009";"2";"Ocupação remanescente de processos antigos de parcelamento do solo";;"4";"3";"2";"2";"1";;"1";"FBDS";;"2";;"1";"-";"1";;"1";;"1";;"4";;"de 701 a 2.000"
"NUI1030";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Prolongamento da Rua José Rodrigues";"3.PMRF";"15";"PMRF";"2009";"2";;;"4";"3";"2";"2";"1";;"0";;;"2";;"1";"-";"1";;"1";;"4";;"4";;"até 50"
"NUI1046";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Tapera";"3.PMRF";"55";"PMRF";"2009";"2";"Ocupação remanescente de processos antigos de parcelamento do solo";;"4";"3";"1";"2";"1";;"1";"FBDS";;"3";"_ Enchente";"1";"-";"2";;"1";;"4";;"4";;"de 51 a 99"
"NUI1025";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Bairro São Geraldo (B)";"3.PMRF";"5";"CADUNICO";"2020";"2";;;"4";"3";"1";"1";"3";;"1";"IPEA";"imagem de satélite";"2";;"1";"-";"1";;"1";;"1";;"4";;"até 50"
"NUI1021";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Periquito";"3.PMRF";"36";"PMRF";"2009";"2";;;"4";"1";"1";"1";"3";;"1";"IPEA";"imagem de satélite";"3";"_ Inundação";"1";"-";"1";;"1";;"4";;"4";;"até 50"
"NUI1023";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Fidalgo";"3.PMRF";"700";"PMRF";"2009";"4";"Ocupação remanescente de processos antigos de parcelamento do solo";;"4";"2";"1";"2";"3";;"1";"FBDS";;"2";;"1";"-";"2";;"1";;"1";;"4";;"de 100 a 700"
"NUI1026";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Rua José Servo Batista";"3.PMRF";"10";"PMRF";"2009";"2";;;"4";"2";"2";"2";"3";;"0";;;"2";;"1";"-";"2";;"2";;"4";;"4";;"até 50"
"NUI1029";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Lagoa de Santo Antônio Leste";"3.PMRF";"500";"PMRF";"2009";"2";;;"4";"2";"2";"2";"3";;"1";"IPEA";"imagem de satélite";"3";"_Tremores de terra (explosões da pedreira) _Assoreamento";"1";"-";"1";;"1";;"2";;"4";;"de 100 a 700"
"NUI1028";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Entorno da Rua Lindéia";"3.PMRF";"40";"PMRF";"2009";"2";;;"4";"2";"2";"2";"3";;"1";"IPEA";"imagem de satélite";"3";"_Deslizamento de terra _Alagamento";"1";"-";"1";;"1";;"2";;"4";;"até 50"
"NUI1032";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Bairro Triângulo";"3.PMRF";"100";"PMRF";"2009";"2";;;"4";"3";"2";"2";"1";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"4";;"de 100 a 700"
