"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI4937";"Recife";"Vicência";"Grupo 3";"Trigueiros";"1";"333";"Censo IBGE";"2010";"2";;;"3";"3";"1";"4";"1";;"1";"FBDS";;"2";;"1";"-";"1";;"1";;"1";;"2";;"de 100 a 700"
"NUI4900";"Recife";"Vitória de Santo Antão";"Grupo 2";"Caiçara 1";"1";"204";"Aglomerados Subnormais 2019";"2020";"1";;;"3";"3";"2";"4";"1";;"1";"FBDS";;"1";;"2";"-";"3";;"4";;"2";;"3";;"de 100 a 700"
"NUI4901";"Recife";"Vitória de Santo Antão";"Grupo 2";"Caiçara 2";"1";"40";"Censo IBGE";"2010";"1";"-";;"5";"3";"2";"4";"1";;"0";;;"1";;"2";"-";"5";"Sem traçado definido";"5";"Não é possível especificar";"4";;"4";"O NUI foi mantido por ter sido indicado pela Prefeitura, apesar de apenas um trecho muito pequeno da área estar ocupado.";"até 50"
"NUI4898";"Recife";"Vitória de Santo Antão";"Grupo 2";"Iraque";"1";"274";"Censo IBGE";"2010";"1";;;"4";"2";"2";"4";"1";;"0";;;"1";;"2";"-";"2";;"2";;"2";;"3";;"de 100 a 700"
"NUI4899";"Recife";"Vitória de Santo Antão";"Grupo 2";"Loteamento Antonio de Lemos";"1";"29";"Censo IBGE";"2010";"2";;;"4";"2";"2";"4";"1";;"0";;;"1";;"2";"-";"2";;"2";;"2";;"3";;"até 50"
"NUI4892";"Recife";"Timbaúba";"Grupo 3";"ZEIS Cruzeiro";"1";"1307";"Aglomerados Subnormais 2019";"2020";"1";"morro. Área central";;"4";"3";"3";"3";"1";;"1";"FBDS";;"3";"morro";"1";"-";"3";;"4";;"1";;"1";;"de 701 a 2.000"
"NUI4928";"Recife";"Vitória de Santo Antão";"Grupo 2";"Cidade de Deus";"1";"729";"CADUNICO";"2020";"1";;;"4";"2";"1";"4";"4";;"0";;;"1";;"2";"-";"2";"e 3";"4";;"2";;"3";"Perímetro de Vitória de Santo Antão está equivocado. O NUI faz parte do território do Município";"de 701 a 2.000"
"NUI4896";"Recife";"Timbaúba";"Grupo 3";"ZEIS Santa Terezinha";"1";"687";"Censo IBGE";"2010";"1";"morro. Área central";;"4";"3";"3";"3";"1";;"1";"FBDS";;"1";;"1";"-";"3";;"4";;"1";;"1";;"de 100 a 700"
"NUI4926";"Recife";"Vitória de Santo Antão";"Grupo 2";"Distrito de Pirituba";"1";"270";"Censo IBGE";"2010";"4";;;"4";"2";"1";"4";"1";;"0";;;"1";;"2";"-";"2";;"1";;"2";;"2";;"de 100 a 700"
"NUI4927";"Recife";"Vitória de Santo Antão";"Grupo 2";"Natuba";"1";"40";"Censo IBGE";"2010";"4";;;"4";"3";"1";"4";"1";;"0";"FBDS";"menos de 1%";"1";;"2";"-";"2";;"2";;"2";;"3";;"até 50"
"NUI4895";"Recife";"Timbaúba";"Grupo 3";"ZEIS Ismael Vasconcelos";"1";"210";"Censo IBGE";"2010";"1";"contíguo a um Conjunto habitacional horizontal";;"3";"2";"2";"3";"1";;"0";;;"1";;"1";"-";"1";;"1";;"1";;"2";;"de 100 a 700"
